vendor,current_price,old_price,product_name,month
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",7
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",7
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",7
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",7
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",7
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",7
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",7
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",7
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",7
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",7
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",7
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",7
Walmart,15.28,16.979999999999997,"Keg Steakhouse & Bar The Keg Steakhouse bar Prime Rib Beef Burgers, 6 x 170 g, 1.02 kg",7
Walmart,3.98,4.970000000000001,"Searay Basa Steak, 680g",6
Walmart,3.98,4.970000000000001,"Searay Basa Steak, 680g",6
Walmart,3.98,4.970000000000001,"Searay Basa Steak, 680g",6
Walmart,3.98,4.970000000000001,"Searay Basa Steak, 680g",6
Walmart,3.98,4.970000000000001,"Searay Basa Steak, 680g",6
Walmart,3.98,4.970000000000001,"Searay Basa Steak, 680g",6
Walmart,3.98,4.970000000000001,"Searay Basa Steak, 680g",6
Walmart,3.98,4.970000000000001,"Searay Basa Steak, 680g",6
Walmart,3.98,4.970000000000001,"Searay Basa Steak, 680g",6
